index,March 24,date,date_sort
New York,14904,March 24,24
Westchester,3891,March 24,24
Nassau,2869,March 24,24
Suffolk,1880,March 24,24
Rockland,671,March 24,24
Orange,489,March 24,24
Albany,146,March 24,24
Dutchess,124,March 24,24
Erie,107,March 24,24
Monroe,96,March 24,24
Saratoga,53,March 24,24
Onondaga,52,March 24,24
Putnam,45,March 24,24
Schenectady,44,March 24,24
Ulster,35,March 24,24
Rensselaer,29,March 24,24
Sullivan,23,March 24,24
Tompkins,15,March 24,24
Niagara,10,March 24,24
Columbia,10,March 24,24
Broome,7,March 24,24
Oneida,7,March 24,24
Ontario,6,March 24,24
Clinton,6,March 24,24
Wayne,6,March 24,24
Madison,4,March 24,24
Steuben,4,March 24,24
Wyoming,4,March 24,24
Herkimer,4,March 24,24
Greene,4,March 24,24
Chenango,3,March 24,24
Washington,3,March 24,24
Essex,3,March 24,24
Montgomery,3,March 24,24
Delaware,3,March 24,24
Livingston,3,March 24,24
Hamilton,2,March 24,24
Cortland,2,March 24,24
Warren,2,March 24,24
Allegany,2,March 24,24
Jefferson,2,March 24,24
Cayuga,2,March 24,24
St Lawrence,1,March 24,24
Tioga,1,March 24,24
Fulton,1,March 24,24
Genesee,1,March 24,24
Otsego,1,March 24,24
Oswego,1,March 24,24
Schoharie,1,March 24,24
