index,March 27,date,date_sort
New York,25573,March 27,27
Westchester,5944,March 27,27
Nassau,3914,March 27,27
Suffolk,2735,March 27,27
Rockland,1197,March 27,27
Orange,751,March 27,27
Dutchess,190,March 27,27
Albany,171,March 27,27
Monroe,139,March 27,27
Erie,134,March 27,27
Putnam,94,March 27,27
Onondaga,83,March 27,27
Ulster,78,March 27,27
Saratoga,73,March 27,27
Schenectady,62,March 27,27
Sullivan,53,March 27,27
Rensselaer,32,March 27,27
Tompkins,22,March 27,27
Broome,16,March 27,27
Niagara,14,March 27,27
Columbia,13,March 27,27
Oneida,13,March 27,27
Steuben,11,March 27,27
Ontario,11,March 27,27
Clinton,11,March 27,27
Madison,9,March 27,27
Wayne,8,March 27,27
Delaware,7,March 27,27
Wyoming,7,March 27,27
Herkimer,7,March 27,27
Chemung,7,March 27,27
Greene,5,March 27,27
Montgomery,5,March 27,27
Oswego,4,March 27,27
Essex,4,March 27,27
Genesee,4,March 27,27
Washington,4,March 27,27
Chenango,3,March 27,27
Jefferson,3,March 27,27
Livingston,3,March 27,27
Cayuga,2,March 27,27
Warren,2,March 27,27
St Lawrence,2,March 27,27
Tioga,2,March 27,27
Cortland,2,March 27,27
Schoharie,2,March 27,27
Hamilton,2,March 27,27
Orleans,2,March 27,27
Allegany,2,March 27,27
Otsego,2,March 27,27
Fulton,1,March 27,27
Chautauqua,1,March 27,27
Franklin,1,March 27,27
