index,April 06,date,date_sort
New York,72181,April 06,37
Nassau,15616,April 06,37
Westchester,14294,April 06,37
Suffolk,13487,April 06,37
Rockland,5703,April 06,37
Orange,3397,April 06,37
Dutchess,1189,April 06,37
Erie,1023,April 06,37
Monroe,574,April 06,37
Ulster,372,April 06,37
Putnam,345,April 06,37
Albany,319,April 06,37
Onondaga,271,April 06,37
Sullivan,253,April 06,37
Saratoga,153,April 06,37
Schenectady,138,April 06,37
Niagara,120,April 06,37
Oneida,100,April 06,37
Tompkins,94,April 06,37
Madison,82,April 06,37
Broome,76,April 06,37
Steuben,75,April 06,37
Rensselaer,62,April 06,37
Columbia,59,April 06,37
St Lawrence,59,April 06,37
Chemung,47,April 06,37
Chenango,46,April 06,37
Clinton,36,April 06,37
Otsego,34,April 06,37
Wayne,34,April 06,37
Jefferson,33,April 06,37
Ontario,32,April 06,37
Oswego,29,April 06,37
Delaware,29,April 06,37
Warren,26,April 06,37
Herkimer,25,April 06,37
Greene,24,April 06,37
Wyoming,23,April 06,37
Genesee,23,April 06,37
Livingston,22,April 06,37
Washington,19,April 06,37
Allegany,17,April 06,37
Chautauqua,15,April 06,37
Montgomery,15,April 06,37
Cortland,13,April 06,37
Orleans,13,April 06,37
Cattaraugus,12,April 06,37
Cayuga,11,April 06,37
Fulton,11,April 06,37
Schoharie,11,April 06,37
Franklin,10,April 06,37
Seneca,9,April 06,37
Tioga,8,April 06,37
Essex,7,April 06,37
Lewis,6,April 06,37
Schuyler,4,April 06,37
Hamilton,2,April 06,37
Yates,1,April 06,37
