New York State Counties,22_Mar_Cov_Pos,21_Mar_Cov_Pos,20_Mar_Cov_Pos,19_Mar_Cov_Pos,18_Mar_Cov_Pos,17_Mar_Cov_Pos,16_Mar_Cov_Pos,15_Mar_Cov_Pos,14_Mar_Cov_Pos,13_Mar_Cov_Pos,12_Mar_Cov_Pos,11_Mar_Cov_Pos,10_Mar_Cov_Pos,09_Mar_Cov_Pos,08_Mar_Cov_Pos,07_Mar_Cov_Pos,06_Mar_Cov_Pos,05_Mar_Cov_Pos,04_Mar_Cov_Pos,03_Mar_Cov_Pos,02_Mar_Cov_Pos,01_Mar_Cov_Pos,22_Mar_Increase,21_Mar_Increase,20_Mar_Increase,19_Mar_Increase,18_Mar_Increase,17_Mar_Increase,16_Mar_Increase,15_Mar_Increase,14_Mar_Increase,13_Mar_Increase,12_Mar_Increase,11_Mar_Increase,10_Mar_Increase,09_Mar_Increase,08_Mar_Increase,07_Mar_Increase,06_Mar_Increase,05_Mar_Increase,04_Mar_Increase,03_Mar_Increase,02_Mar_Increase
New York,9045,6211.0,4408.0,2469.0,1339.0,644.0,329.0,329.0,269.0,154.0,95.0,52.0,36.0,19.0,12.0,11.0,4.0,3.0,1.0,1.0,1.0,1.0,46%,41%,79%,84%,108%,96%,0%,22%,75%,62%,83%,44%,89%,58%,9%,175%,33%,200%,0%,0%,0%
Nassau,1900,1234.0,754.0,372.0,183.0,131.0,98.0,98.0,79.0,51.0,41.0,28.0,19.0,17.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,54%,64%,103%,103%,40%,34%,0%,24%,55%,24%,46%,47%,12%,240%,25%,0%,300%,0%,0%,0%,0%
Westchester,1873,1387.0,1091.0,798.0,538.0,380.0,196.0,196.0,178.0,158.0,148.0,121.0,108.0,98.0,82.0,70.0,34.0,18.0,10.0,1.0,0.0,0.0,35%,27%,37%,48%,42%,94%,0%,10%,13%,7%,22%,12%,10%,20%,17%,106%,89%,80%,900%,0%,0%
Suffolk,1034,662.0,371.0,178.0,116.0,84.0,74.0,47.0,41.0,28.0,20.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56%,78%,108%,53%,38%,14%,57%,15%,46%,40%,233%,500%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Rockland,455,262.0,101.0,53.0,30.0,22.0,13.0,13.0,12.0,9.0,7.0,6.0,6.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,74%,159%,91%,77%,36%,69%,0%,8%,33%,29%,17%,0%,50%,100%,0%,0%,0%,0%,0%,0%,0%
Orange,247,163.0,84.0,51.0,32.0,15.0,6.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52%,94%,65%,59%,113%,150%,0%,0%,100%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Albany,123,88.0,61.0,43.0,36.0,23.0,8.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40%,44%,42%,19%,57%,188%,0%,60%,150%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Dutchess,82,49.0,36.0,31.0,20.0,16.0,7.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67%,36%,16%,55%,25%,129%,0%,75%,300%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Monroe,57,42.0,32.0,27.0,14.0,10.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36%,31%,19%,93%,40%,400%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Erie,54,38.0,31.0,28.0,7.0,7.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42%,23%,11%,300%,0%,133%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Saratoga,41,35.0,24.0,18.0,14.0,9.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17%,46%,33%,29%,56%,200%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Schenectady,39,32.0,21.0,18.0,14.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22%,52%,17%,29%,180%,150%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Putnam,37,22.0,7.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68%,214%,40%,150%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Onondaga,29,17.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71%,112%,60%,150%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Ulster,26,18.0,12.0,10.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44%,50%,20%,11%,12%,60%,0%,0%,0%,25%,300%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Rensselaer,26,20.0,7.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30%,186%,17%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sullivan,16,12.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33%,50%,167%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Tompkins,13,11.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18%,57%,17%,100%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Niagara,6,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50%,33%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Ontario,6,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50%,33%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Oneida,5,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Columbia,5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Clinton,4,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Herkimer,4,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33%,50%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Wayne,3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Montgomery,3,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Delaware,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Broome,3,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
