Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,St Lawrence,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates,date,total
619,35,174331,328,53,52,36,125,99,62,217,32,73,3086,3710,29,15,82,155,151,3,62,62,174331,9,83,180,1566,56,36780,174331,488,489,1047,95,9038,97,66,67,1144,174331,322,174331,11945,361,521,45,8,42,176,234,34478,931,90,128,1358,185,184,73,29626,69,18,May 03,316055.0
619,35,172354,305,50,51,35,124,99,62,215,32,70,3049,3598,28,15,79,155,142,3,61,62,172354,9,76,174,1534,54,36519,172354,488,474,947,92,9038,93,66,67,1115,172354,311,172354,11945,361,521,44,8,42,176,234,34478,931,90,128,1358,185,184,73,29626,69,18,May 02,313390.0
619,35,169690,299,49,51,35,123,99,61,202,32,70,3002,3481,28,15,75,154,139,3,60,61,169690,9,73,167,1478,53,36161,169690,488,451,920,91,9038,92,64,67,1090,169690,298,169690,11812,358,514,44,8,41,176,231,34387,887,90,128,1358,182,170,72,28970,68,18,May 01,309022.0
619,35,167478,285,47,48,33,122,98,59,175,32,70,2954,3410,28,15,71,153,131,3,58,61,167478,9,70,147,1441,53,35854,167478,460,439,876,90,8780,89,63,67,1090,167478,298,167478,11708,354,501,42,8,39,173,231,34387,845,88,128,1338,176,148,71,28970,67,18,April 30,305649.0
619,35,164841,273,47,48,31,119,96,59,165,32,69,2881,3224,27,15,67,152,114,3,58,60,164841,9,67,147,1404,51,35505,164841,440,422,876,90,8780,85,63,66,1067,164841,262,164841,11586,346,479,39,8,38,170,225,33935,814,84,128,1309,150,134,70,28626,65,17,April 29,301040.0
619,35,162338,266,45,48,30,113,95,59,154,32,69,2817,3109,26,14,66,149,112,3,58,60,162338,9,65,134,1371,49,35085,162338,428,411,819,90,8374,80,63,65,1038,162338,256,162338,11453,343,469,38,8,38,170,225,33320,769,82,128,1294,150,131,70,28245,63,17,April 28,296057.0
619,35,160489,261,45,48,30,108,95,59,154,32,58,2793,3061,24,14,62,148,111,3,58,60,160489,9,62,133,1331,47,34865,160489,410,397,774,88,8238,80,61,62,988,160489,246,160489,11366,336,457,35,8,38,169,221,33286,748,71,128,1289,147,130,69,28007,63,17,April 27,293103.0
619,35,158258,257,45,47,29,106,93,57,152,32,58,2729,2954,24,14,62,144,110,3,57,59,158258,9,60,127,1316,47,33798,158258,368,384,774,88,8106,80,61,60,988,158258,242,158258,11256,330,449,35,8,38,167,219,32537,724,71,127,1234,132,113,65,27664,59,17,April 26,288026.0
619,35,155113,251,45,47,27,103,91,54,142,32,58,2660,2773,24,14,61,141,107,3,56,59,155113,9,58,127,1285,46,33798,155113,359,364,746,88,7973,75,58,60,942,155113,221,155113,11091,320,431,33,8,36,156,217,31921,689,71,127,1234,132,113,65,27231,57,16,April 25,282952.0
619,32,150473,244,39,39,27,79,84,53,129,32,51,2517,2603,22,13,29,130,90,3,56,58,150473,9,55,126,1199,39,32765,150473,359,324,724,73,7470,60,58,50,900,150473,213,150473,10091,278,297,21,8,18,144,215,30949,630,40,127,1143,122,83,61,26633,53,11,April 24,272956.0
619,32,145855,241,37,37,27,76,82,52,123,32,50,2460,2505,22,13,28,130,89,3,54,56,145855,9,51,123,1152,39,32124,145855,326,317,695,73,7470,59,57,50,900,145855,206,145855,9828,265,288,21,8,18,139,214,29951,630,40,121,1095,119,80,60,25959,53,11,April 23,265313.0
619,32,142432,225,37,36,27,75,79,51,117,32,50,2391,2284,22,13,28,130,87,3,53,54,142432,9,51,123,1112,38,31555,142432,294,301,667,73,7152,58,57,49,831,142432,202,142432,9699,264,280,20,8,18,123,214,29476,561,39,121,1049,108,73,60,25276,53,11,April 22,259020.0
704,30,139385,215,35,36,25,75,79,51,113,32,49,2331,2284,21,13,27,121,87,3,50,54,139385,9,49,120,1070,37,31079,139385,287,286,646,72,7029,53,56,49,605,139385,193,139385,9568,257,273,20,8,18,120,195,28701,555,37,119,1018,102,68,53,24656,36,10,April 21,253274.0
687,30,136806,215,34,36,25,73,78,51,111,32,49,2284,2192,20,13,27,119,86,3,49,54,136806,9,47,120,1054,35,30677,136806,279,281,637,71,6514,46,56,49,599,136806,193,136806,9457,254,269,20,8,18,110,195,28057,544,37,119,997,101,63,53,24306,36,10,April 20,248395.0
682,30,134436,192,34,36,25,73,78,49,108,32,49,2240,2192,18,13,27,117,85,3,49,54,134436,8,41,121,1032,35,30013,134436,253,281,637,70,6514,46,53,48,592,134436,174,134436,9364,251,268,20,8,18,105,167,27364,537,35,119,960,96,63,53,23803,36,9,April 19,243816.0
648,30,131263,186,34,36,25,72,77,48,108,32,49,2201,2127,16,13,27,87,82,3,47,50,131263,8,41,117,1008,34,29180,131263,253,268,598,69,6514,41,53,47,582,131263,174,131263,9171,244,259,20,8,18,104,160,26428,524,32,119,921,94,52,53,23179,36,9,April 18,237679.0
619.0,29,127352,178,34,36,25,71,76,47,108,32,48,2142,2023,15,13,27,83,77,3,46,50,127352,8,41,117,975,33,28539,127352,253,263,598,67,6514,34,53,44,578,127352,174,127352,8987,236,250,20,8,18,104,154,25781,505,30,119,880,91,48,53,22476,35,8,April 17,230609.0
581.0,28,123146,171,32,36,24,70,73,46,102,32,47,2085,1951,12,13,25,78,74,3,43,48,123146,8,37,115,932,32,27772,123146,238,249,579,65,6266,34,50,44,573,123146,146,123146,8752,231,245,20,8,18,104,154,24730,437,27,116,845,81,46,51,21858,34,7,April 16,223043.0
548.0,28,118302,153,32,36,26,69,71,45,100,27,46,2048,1812,12,13,24,76,73,3,40,47,118302,7,38,110,884,32,26715,118302,229,246,563,62,5964,33,50,44,571,118302,146,118302,8474,227,237,20,8,18,92,151,23278,424,25,116,733,77,42,48,20947,34,6,April 15,213734.0
535.0,28,110425,146,32,33,24,64,68,45,84,25,45,1934,1730,12,13,22,76,66,3,39,47,110425,7,37,110,850,32,25520,110425,216,229,537,61,5830,31,47,44,558,110425,140,110425,8335,224,235,20,8,18,92,147,22634,415,24,113,716,77,40,48,20191,32,6,April 14,202585.0
478.0,26,106863,133,28,30,24,60,65,44,80,24,42,1838,1624,12,12,21,71,45,3,38,46,106863,6,35,110,823,29,24358,106863,205,206,481,57,5598,26,44,43,502,106863,119,106863,7965,201,204,12,5,16,89,123,21643,380,20,110,655,48,37,42,19786,31,4,April 13,195142.0
446.0,26,103208,126,28,29,24,60,63,43,79,23,39,1838,1571,12,12,21,69,44,3,37,46,103208,6,34,110,798,29,22584,103208,194,200,481,57,5027,25,42,43,497,103208,119,103208,7721,196,199,12,5,16,85,121,20816,358,19,109,612,46,34,42,19313,31,3,April 12,187385.0
446.0,26,98308,117,19,28,23,60,61,43,77,21,39,1744,1558,12,11,21,67,37,3,37,44,98308,6,34,105,767,29,22584,98308,194,183,456,56,4847,24,42,43,494,98308,119,98308,7477,187,194,12,5,16,80,119,19883,340,19,108,589,44,31,42,18729,31,2,April 11,180247.0
426.0,26,92384,112,18,27,23,59,60,43,74,20,39,1598,1506,10,11,18,65,34,3,36,43,92384,6,34,105,742,29,21512,92384,166,172,456,51,4640,24,42,41,487,92384,112,92384,7122,182,191,12,5,15,78,117,18980,318,18,112,530,43,26,41,18077,30,2,April 10,171153.0
