date,Bronx,Brooklyn,Manhattan,Queens,Staten Island,total
March 22,1071,2484,1863,2254,437,8109
March 23,1829,3494,2572,3621,817,12333
March 24,2328,4237,2887,4364,953,14769
March 25,2789,4656,3187,5066,1084,16782
March 26,3924,5705,3907,7026,1276,21838
March 27,4655,6750,4478,8214,1440,25537
March 28,5352,7789,5036,9928,1718,29823
March 29,6145,8451,5438,10373,1866,32273
March 30,6830,9521,5877,11868,2091,36187
March 31,7625,10904,6446,13576,2314,40865
April 01,8398,12076,6960,14966,2480,44880
April 02,8607,12274,7022,15217,2552,45672
April 03,9343,13290,7398,16819,2822,49672
April 04,10765,15327,8222,18823,3117,56254
April 05,11820,16488,8781,20371,3355,60815
April 06,12738,17520,9251,21781,3628,64918
April 07,13680,18434,9691,23083,3851,68739
April 08,14941,20235,10254,24840,4325,74595
April 09,16419,21580,10862,26204,5102,80167
April 10,18736,23408,11486,27759,6298,87687
April 11,20543,24846,12201,29754,7027,94371
April 12,21523,26042,12712,31044,7358,98679
April 13,22709,27462,13431,32749,8004,104355
April 14,23426,28183,13740,33616,8236,107201
April 15,24587,29250,14188,34831,8504,111360
April 16,25638,31279,15539,36220,8822,117498
April 17,27014,32499,15952,37447,9166,122078
April 18,28016,33729,16404,38733,9414,126296
April 19,28875,34476,16754,39856,9755,129716
April 20,29505,35203,16987,40714,9986,132395
April 21,30142,35775,17200,41520,10166,134803
April 22,31130,36699,17495,42637,10405,138366
April 23,31911,37564,17803,43824,10582,141684
April 24,32862,38727,18252,45313,10917,146071
April 25,33950,39912,18701,46786,11159,150508
April 26,34711,40593,19046,47511,11275,153136
April 27,35398,41327,19499,48382,11424,156030
April 28,35860,41744,19672,48847,11520,157643
April 29,36382,42380,19837,49559,11635,159793
April 30,36969,42996,20121,50304,11752,162142
May 01,37551,43621,20363,51028,11861,164424
May 02,38099,44303,20693,51709,11999,166803
May 03,38599,44867,20892,52305,12101,168764
May 04,38973,45341,21125,52845,12169,170453
May 05,39239,45637,21287,53243,12235,171641
May 06,39587,46139,21470,53692,12311,173199
May 07,39878,46579,21662,54121,12380,174620
May 08,40148,46977,21862,54558,12452,175997
May 09,40454,47402,22042,54959,12535,177392
May 10,40689,47836,22185,55380,12586,178676
May 11,41628,49865,22646,56719,12714,183572
May 12,41746,50079,22771,56899,12733,184228
May 13,41953,50346,22889,57178,12749,185115
May 14,42222,50674,23056,57459,12791,186202
May 15,42656,51131,23274,57865,12832,187758
May 16,42966,51509,23428,58170,12867,188940
May 17,43252,51931,23620,58574,12937,190314
May 18,43397,52145,23711,58756,12969,190978
May 19,43508,52347,23790,58921,12988,191554
May 20,43652,52551,23881,59174,13017,192275
May 21,43713,52712,23943,59330,13043,192741
May 22,43918,53137,24101,59615,13080,193851
May 23,44068,53373,24241,59764,13121,194567
May 25,44256,53629,24338,59963,13165,195351
May 26,44500,54000,24508,60293,13221,196522
May 27,44646,54249,24619,60475,13260,197249
May 28,44843,54544,24739,60726,13302,198154
May 29,45021,54817,24842,60917,13340,198937
May 30,45210,55091,24976,61131,13384,199792
May 31,45360,55306,25056,61306,13417,200445
June 01,45428,55421,25092,61372,13414,200727
June 02,45480,55519,25131,61467,13426,201023
June 03,45600,55733,25237,61683,13451,201704
June 04,45730,55889,25317,61798,13481,202215
June 05,45818,56057,25379,61949,13517,202829
June 06,45926,56262,25450,62126,13558,203430
June 07,46026,56390,25497,62223,13573,203819
June 08,46103,56530,25553,62367,13590,204253
June 09,46169,56633,25588,62466,13610,204576
June 10,46271,56763,25655,62589,13626,205011
June 11,46358,56862,25725,62710,13644,205405
June 12,46452,56993,25793,62838,13662,205846
June 13,46535,57146,25870,62986,13675,206322
June 14,46600,57246,25895,63064,13691,206606
