date,Bronx,Brooklyn,Manhattan,Queens,Staten Island,total
March 22,1071,2484,1863,2254,437,8109
March 23,1829,3494,2572,3621,817,12333
March 24,2328,4237,2887,4364,953,14769
March 25,2789,4656,3187,5066,1084,16782
March 26,3924,5705,3907,7026,1276,21838
March 27,4655,6750,4478,8214,1440,25537
March 28,5352,7789,5036,9928,1718,29823
March 29,6145,8451,5438,10373,1866,32273
March 30,6830,9521,5877,11868,2091,36187
March 31,7625,10904,6446,13576,2314,40865
April 01,8398,12076,6960,14966,2480,44880
April 02,8607,12274,7022,15217,2552,45672
April 03,9343,13290,7398,16819,2822,49672
April 04,10765,15327,8222,18823,3117,56254
April 05,11820,16488,8781,20371,3355,60815
April 06,12738,17520,9251,21781,3628,64918
April 07,13680,18434,9691,23083,3851,68739
April 09,16419,21580,10862,26204,5102,80167
April 08,15348,20,11012,24840,4797,56017
April 10,18736,23408,11486,27759,6298,87687
