MODZCTA,Positive,Total,zcta_cum.perc_pos,ZIP,LAT,LNG,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Positive_Percentage_of_Population
10001,277,636,43.55,10001,40.750633,-73.99717700000001,10001,40.750609999999995,-73.99716,New York,NY,New York,True,,22924,13259.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.2083406037340778
10002,756,1498,50.47,10002,40.715775,-73.986212,10002,40.71586,-73.98613,New York,NY,New York,True,,74993,35781.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.0080940887816197
10003,363,908,39.98,10003,40.731829,-73.989181,10003,40.7318,-73.98911,New York,NY,New York,True,,54682,37524.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.6638381917267109
10004,26,71,36.62,10004,40.688629999999996,-74.018244,10004,40.69465,-74.02105999999999,New York,NY,New York,True,,3028,2214.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.8586525759577279
10005,45,144,31.25,10005,40.706027,-74.00883499999999,10005,40.70616,-74.00907,New York,NY,New York,True,,8831,37900.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.509568565281395
10006,15,61,24.59,10006,40.709614,-74.01295400000001,10006,40.70968,-74.01284,New York,NY,New York,True,,3454,12458.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.4342790966994789
10007,42,151,27.81,10007,40.713848,-74.007755,10007,40.71394,-74.00763,New York,NY,New York,True,,7023,16915.0,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.598035027765912
10009,547,1312,41.69,10009,40.726399,-73.97863100000001,10009,40.72664,-73.97858000000001,New York,NY,New York,True,,57925,38399.1,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.944324557617609
10010,210,633,33.18,10010,40.739065000000004,-73.98225500000001,10010,40.73914,-73.98255,New York,NY,New York,True,,33730,32205.4,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.6225911651348948
10011,411,942,43.63,10011,40.742039,-74.00062,10011,40.74187,-74.00052,New York,NY,New York,True,,50472,29744.0,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.8143128863528294
10012,125,361,34.63,10012,40.725581,-73.998078,10012,40.725629999999995,-73.99803,New York,NY,New York,True,,23411,28771.0,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.533937038144462
10013,187,470,39.79,10013,40.720103,-74.004903,10013,40.72014,-74.00476,New York,NY,New York,True,,28709,19437.4,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.6513636838622036
10014,240,567,42.33,10014,40.734012,-74.00674599999999,10014,40.733670000000004,-74.0069,New York,NY,New York,True,,30738,22447.1,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.7807925043919578
10016,535,1374,38.94,10016,40.745224,-73.978297,10016,40.74517,-73.97834,New York,NY,New York,True,,51057,39315.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.0478484830679435
10017,113,352,32.1,10017,40.752359999999996,-73.972493,10017,40.7523,-73.97249000000001,New York,NY,New York,True,,15801,20189.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.7151446111005633
10018,175,423,41.37,10018,40.755319,-73.993114,10018,40.75546,-73.99334,New York,NY,New York,True,,9687,6252.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.8065448539279445
10019,458,1081,42.37,10019,40.765823,-73.987169,10019,40.7657,-73.98706,New York,NY,New York,True,,43703,23754.2,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.0479829759970711
10021,451,1244,36.25,10021,40.769258,-73.958751,10021,40.76939,-73.95871,New York,NY,New York,True,,46215,44214.6,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.9758736341014823
10022,260,732,35.52,10022,40.758628,-73.96794799999999,10022,40.75863,-73.96786999999999,New York,NY,New York,True,,31125,28833.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.8353413654618475
10023,449,1226,36.62,10023,40.775921000000004,-73.982607,10023,40.77601,-73.98269,New York,NY,New York,True,,62435,48060.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.7191479138303836
10024,506,1347,37.56,10024,40.798452000000005,-73.974428,10024,40.79227,-73.97482,New York,NY,New York,True,,59001,26672.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.857612582837579
10025,930,2208,42.12,10025,40.798601,-73.966622,10025,40.79857,-73.96659,New York,NY,New York,True,,92805,48594.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.0021011798933248
10026,456,952,47.9,10026,40.802381,-73.95268100000001,10026,40.80245,-73.9526,New York,NY,New York,True,,39363,39504.2,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.1584482890023626
10027,690,1387,49.75,10027,40.811407,-73.95306,10027,40.811840000000004,-73.9534,New York,NY,New York,True,,64548,26528.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.0689719278676335
10028,383,1088,35.2,10028,40.776441,-73.953509,10028,40.7763,-73.95371999999999,New York,NY,New York,True,,47793,55636.0,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.8013725859435482
10029,1270,2488,51.05,10029,40.791763,-73.94397,10029,40.79173,-73.94396,New York,NY,New York,True,,79597,36151.2,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.595537520258301
10030,369,665,55.49,10030,40.818267,-73.942856,10030,40.81823,-73.94288,New York,NY,New York,True,,29882,37367.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.2348571046114718
10031,871,1447,60.19,10031,40.825288,-73.95004499999999,10031,40.82519,-73.95013,New York,NY,New York,True,,60254,33563.2,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.445547183589471
10032,1012,1749,57.86,10032,40.838815000000004,-73.942836,10032,40.838840000000005,-73.94279,New York,NY,New York,True,,64264,33808.6,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.5747541391758995
10033,865,1459,59.29,10033,40.850545000000004,-73.933983,10033,40.8506,-73.93391,New York,NY,New York,True,,59607,34923.5,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.4511718422332949
10034,487,920,52.93,10034,40.867076000000004,-73.924312,10034,40.86716,-73.92411,New York,NY,New York,True,,42910,13778.0,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.1349335819156374
10035,679,1226,55.38,10035,40.795455,-73.92965500000001,10035,40.7955,-73.92968,New York,NY,New York,True,,35743,9207.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.8996726631788043
10036,320,730,43.84,10036,40.75926,-73.98986,10036,40.759240000000005,-73.98982,New York,NY,New York,True,,27428,21721.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.1666909727285986
10037,308,586,52.56,10037,40.812957,-73.937376,10037,40.81286,-73.93739000000001,New York,NY,New York,True,,21139,26126.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.4570225649273854
10038,178,392,45.41,10038,40.709278000000005,-74.002562,10038,40.7092,-74.00284,New York,NY,New York,True,,22800,26251.9,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.7807017543859649
10039,354,697,50.79,10039,40.830867,-73.93621800000001,10039,40.83076,-73.93619,New York,NY,New York,True,,27726,21653.6,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.2767799177667172
10040,673,1128,59.66,10040,40.858305,-73.930549,10040,40.85821,-73.93053,New York,NY,New York,True,,44571,42392.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.5099504161898991
10044,133,286,46.5,10044,40.761915,-73.949962,10044,40.76166,-73.95017,New York,NY,New York,True,,11682,19569.2,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.138503680876562
10065,259,814,31.82,10065,40.764612,-73.963122,10065,40.76474,-73.96314,New York,NY,New York,True,,28109,32772.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.9214130705467999
10069,46,128,35.94,10069,40.775906,-73.990358,10069,40.77606,-73.99025,New York,NY,New York,True,,5085,20875.8,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,0.904621435594887
10075,321,752,42.69,10075,40.773361,-73.956216,10075,40.77335,-73.95622,New York,NY,New York,True,,21556,54746.3,36061,New York,{'36061':100},New York,36061,False,False,America/New_York,1.4891445537205419
