date,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,new_Confirmed,new_Recovered,new_Deaths,p_new_Confirmed,p_new_Recovered,p_new_Deaths
01-22-2020,504,547.0,17.0,28.0,0,0.0,0.0,15.26751684193729,0.0,0.0,0.0,0.0,0.0,0.0
01-23-2020,504,639.0,18.0,30.0,0,0.0,0.0,23.292618626670656,92.0,2.0,1.0,0.14397496087636932,0.06666666666666667,0.05555555555555555
01-24-2020,454,916.0,26.0,36.0,0,0.0,0.0,35.766865430937656,277.0,6.0,8.0,0.30240174672489084,0.16666666666666666,0.3076923076923077
01-25-2020,444,1399.0,42.0,39.0,0,0.0,0.0,52.480284206644825,483.0,3.0,16.0,0.34524660471765545,0.07692307692307693,0.38095238095238093
01-26-2020,448,2062.0,56.0,49.0,0,0.0,0.0,66.720741491616,663.0,10.0,14.0,0.3215324927255092,0.20408163265306123,0.25
01-27-2020,443,2863.0,82.0,58.0,0,0.0,0.0,81.46757078544177,801.0,9.0,26.0,0.27977645826056585,0.15517241379310345,0.3170731707317073
01-28-2020,438,5494.0,131.0,101.0,0,0.0,0.0,96.52626284319088,2631.0,43.0,49.0,0.4788860575172916,0.42574257425742573,0.37404580152671757
01-29-2020,440,6070.0,133.0,120.0,0,0.0,0.0,105.54264557104771,576.0,19.0,2.0,0.09489291598023064,0.15833333333333333,0.015037593984962405
01-30-2020,470,8124.0,171.0,135.0,0,0.0,0.0,116.5761423479387,2054.0,15.0,38.0,0.2528311176760217,0.1111111111111111,0.2222222222222222
01-31-2020,470,9783.0,213.0,214.0,0,0.0,0.0,126.66206384955375,1659.0,79.0,42.0,0.16957988347132782,0.3691588785046729,0.19718309859154928
02-01-2020,500,11871.0,259.0,275.0,0,0.0,0.0,135.9720754380528,2088.0,61.0,46.0,0.17589082638362397,0.22181818181818183,0.1776061776061776
02-02-2020,496,16607.0,361.0,463.0,0,0.0,0.0,144.95877729498832,4736.0,188.0,102.0,0.28518094779309927,0.4060475161987041,0.28254847645429365
02-03-2020,498,19693.0,425.0,614.0,0,0.0,0.0,152.67611528819486,3086.0,151.0,64.0,0.15670542832478546,0.24592833876221498,0.15058823529411763
02-04-2020,500,23680.0,490.0,843.0,0,0.0,0.0,159.96335024519556,3987.0,229.0,65.0,0.16836993243243242,0.27164887307236063,0.1326530612244898
02-05-2020,500,27409.0,562.0,1115.0,0,0.0,0.0,166.1791654765649,3729.0,272.0,72.0,0.1360502024882338,0.24394618834080717,0.12811387900355872
02-06-2020,502,30553.0,632.0,1476.0,0,0.0,0.0,171.63895142697393,3144.0,361.0,70.0,0.10290315189997709,0.244579945799458,0.11075949367088607
02-07-2020,505,34075.0,717.0,1998.0,0,0.0,0.0,176.48830199694268,3522.0,522.0,85.0,0.10336023477622891,0.26126126126126126,0.11854951185495119
02-08-2020,505,36778.0,804.0,2595.0,0,0.0,0.0,180.4060156306553,2703.0,597.0,87.0,0.07349502419924955,0.2300578034682081,0.10820895522388059
02-09-2020,506,39790.0,904.0,3218.0,0,0.0,0.0,183.65672857681966,3012.0,623.0,100.0,0.07569741140990198,0.19359850839030454,0.11061946902654868
02-10-2020,512,42306.0,1011.0,3917.0,0,0.0,0.0,186.47442015130605,2516.0,699.0,107.0,0.059471469767881625,0.178452897625734,0.10583580613254204
02-11-2020,512,44327.0,1111.0,4635.0,0,0.0,0.0,189.17880699790175,2021.0,718.0,100.0,0.045592979448191844,0.15490830636461705,0.09000900090009001
02-12-2020,514,44699.0,1116.0,5079.0,0,0.0,0.0,191.32412537147397,2022.0,444.0,5.0,0.008322333832971655,0.0874187832250443,0.004480286738351254
02-13-2020,516,59832.0,1368.0,6213.0,0,0.0,0.0,194.4061622120038,1820.0,1134.0,252.0,0.25292485626420647,0.18252052148720424,0.18421052631578946
02-14-2020,519,66292.0,1520.0,7973.0,0,0.0,0.0,196.3315381556739,5093.0,1760.0,152.0,0.09744765582574066,0.22074501442367991,0.1
02-15-2020,522,68347.0,1662.0,9294.0,0,0.0,0.0,197.66146355786046,2055.0,1321.0,142.0,0.03006715730024727,0.14213471056595653,0.08543922984356198
02-16-2020,526,70446.0,1765.0,10748.0,0,0.0,0.0,198.622337266984,2099.0,1454.0,103.0,0.029795872015444452,0.13528098250837364,0.058356940509915016
02-17-2020,527,72364.0,1863.0,12455.0,0,0.0,0.0,199.37238846568064,1918.0,1707.0,98.0,0.026504891935216407,0.13705339221196305,0.052603327965646804
02-18-2020,531,74139.0,2002.0,14199.0,0,0.0,0.0,199.9183515321937,1775.0,1744.0,139.0,0.023941515261872968,0.12282555109514755,0.06943056943056942
02-19-2020,535,74546.0,2114.0,15952.0,0,0.0,0.0,200.31842433551307,407.0,1753.0,112.0,0.005459716148418426,0.10989217652958877,0.052980132450331126
02-20-2020,543,74999.0,2236.0,18002.0,0,0.0,0.0,200.58808052716395,453.0,2050.0,122.0,0.006040080534407125,0.11387623597378069,0.05456171735241502
02-21-2020,556,75472.0,2236.0,18693.0,0,0.0,0.0,201.5409774473585,473.0,691.0,0.0,0.006267224931100276,0.03696570908896378,0.0
02-22-2020,563,76922.0,2441.0,22687.0,0,0.0,0.0,201.77467727668375,1450.0,3994.0,205.0,0.018850263903694653,0.17604795697976816,0.08398197460057354
02-23-2020,579,76938.0,2443.0,23170.0,0,0.0,0.0,201.8310555183501,16.0,483.0,2.0,0.00020795965582676962,0.02084592145015106,0.0008186655751125665
