CITY,COUNTYNAME,Combined_Key,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,ZIP
Aaronsburg,Centre County,Pennsylvania US,440.0,13.0,0.0,0.0,42027.0,40.92058903,-77.82200624,1.2338446871641178,16820.0
Abbeville,Abbeville County,South Carolina US,0.0,3.0,0.0,0.0,45001.0,34.22333378,-82.46170658,0.227644691705265,29620.0
Abbeville,Ben Hill County,Georgia US,174.0,2.0,0.0,0.0,13017.0,31.76095874,-83.22145359,0.09061905828945654,31001.0
Abbeville,Lafayette County,Mississippi US,1557.0,11.0,0.0,0.0,28071.0,34.35687874,-89.48490961,1.0844987247010578,38601.0
Abbeville,Vermilion Parish,Louisiana US,2918.5,2.0,0.5,0.0,22113.0,29.83517605,-92.30292538,0.09061905828945654,70510.0
Abbotsford,Clark County,Wisconsin US,531.0,2.5,0.0,0.0,55019.0,44.73483377,-90.61207486,0.15913187499736076,54405.0
Abbotsford,Marathon County,Wisconsin US,1785.0,1.0,0.0,0.0,55073.0,44.89792533,-89.75863384,0.0,54405.0
Abbott,McLennan County,Texas US,1869.0,33.5,0.0,0.0,48309.0,31.55255453,-97.20217694,2.3256561294741918,76621.0
Abbottstown,Adams County,Pennsylvania US,17.0,8.0,0.0,0.0,42001.0,39.87140411,-77.21610347,0.8155715246051087,17301.0
Abbottstown,York County,Pennsylvania US,3158.5,33.5,0.0,0.0,42133.0,39.9210089,-76.73040131,2.320571924255643,17301.0
Abbyville,Reno County,Kansas US,2408.0,5.0,0.0,0.0,20155.0,37.95230263,-98.08607292,0.4885590669614942,67510.0
Abell,St. Mary's County,Maryland US,2676.0,6.0,0.0,0.0,24037.0,38.30058422,-76.60629279999998,0.5890238788814675,20606.0
Aberdeen,Bingham County,Idaho US,208.0,2.0,0.0,0.0,16011.0,43.21672879999999,-112.3978437,0.09061905828945654,83210.0
Aberdeen,Brown County,South Dakota US,290.0,2.0,0.0,0.0,46013.0,45.58994323,-98.35165355,0.09061905828945654,57401.5
Aberdeen,Chickasaw County,Mississippi US,491.0,9.5,0.0,0.0,28017.0,33.91983202,-88.9481545,0.95528938341053,39730.0
Aberdeen,Grays Harbor County,Washington US,1100.0,1.0,0.0,0.0,53027.0,47.14003705,-123.7820567,0.0,98520.0
Aberdeen,Harford County,Maryland US,1202.0,19.5,0.0,0.0,24025.0,39.55010644,-76.30775940000002,1.661986462717496,21001.0
Aberdeen,Hoke County,North Carolina US,1280.0,2.0,0.0,0.0,37093.0,35.01888303,-79.23651674,0.09061905828945654,28315.0
Aberdeen,Monroe County,Mississippi US,1965.0,3.0,0.0,0.0,28095.0,33.89236763,-88.4808438,0.227644691705265,39730.0
Aberdeen,Moore County,North Carolina US,1999.0,4.0,0.0,0.0,37125.0,35.30885257,-79.48474178,0.3581018793333796,28315.0
Aberdeen proving ground,Harford County,Maryland US,1202.0,19.5,0.0,0.0,24025.0,39.55010644,-76.30775940000002,1.661986462717496,21005.0
Abernant,Tuscaloosa County,Alabama US,2843.0,21.5,0.0,0.0,1125.0,33.28726072,-87.52556818,1.775181258676271,35440.0
Abernathy,Hale County,Texas US,1152.0,1.0,0.0,0.0,48189.0,34.07044901,-101.8268114,0.0,79311.0
Abernathy,Lubbock County,Texas US,1727.0,30.0,0.0,0.0,48303.0,33.61008596,-101.8204789,2.181383803047553,79311.0
Abie,Saunders County,Nebraska US,2539.0,2.0,0.0,0.0,31155.0,41.2278103,-96.63773905,0.09061905828945654,68001.0
Abilene,Clay County,Kansas US,545.0,1.0,0.0,0.0,20027.0,39.34948772,-97.16518128,0.0,67410.0
Abilene,Taylor County,Texas US,2772.0,2.5,0.0,0.0,48441.0,32.30163422,-99.89007449,0.15913187499736076,79605.5
Abingdon,Harford County,Maryland US,1202.0,19.5,0.0,0.0,24025.0,39.55010644,-76.30775940000002,1.661986462717496,21009.0
Abingdon,Washington County,Virginia US,3006.0,1.0,0.0,0.0,51191.0,36.72341572,-81.95666289,0.0,24211.0
Abington,Montgomery County,Pennsylvania US,1991.0,392.5,4.0,0.0,42091.0,40.21053671,-75.36652296,6.725918675599038,19001.0
Abington,Plymouth County,Massachusetts US,2295.0,229.5,0.0,0.0,25023.0,41.94070556,-70.80802823,5.544195016840311,2351.0
Abington,Windham County,Connecticut US,3099.5,3.0,0.0,0.0,9015.0,41.82972709,-71.98182316,0.227644691705265,6230.0
Abiquiu,Rio Arriba County,New Mexico US,2433.0,2.0,0.0,0.0,35039.0,36.51072137,-106.6931674,0.09061905828945654,87510.0
Abita springs,St. Tammany Parish,Louisiana US,2677.0,122.5,2.0,0.0,22103.0,30.40942847,-89.95642711,4.353960455389657,70420.0
Absaraka,Cass County,North Dakota US,424.0,14.5,1.0,0.0,38017.0,46.93201724,-97.2444719,1.3301038933846936,58002.0
Absecon,Atlantic County,New Jersey US,101.0,15.5,0.0,0.0,34001.0,39.47538693,-74.65848483,1.413807011144307,8203.0
Acampo,San Joaquin County,California US,2510.0,91.5,3.5,0.0,6077.0,37.93433732,-121.2730061,3.846994452223652,95220.0
Accident,Garrett County,Maryland US,1020.0,3.0,0.0,0.0,24023.0,39.52786077,-79.27355126,0.227644691705265,21520.0
Accokeek,Charles County,Maryland US,448.0,19.0,0.0,0.0,24017.0,38.51092331,-76.98580666,1.6311342057438103,20607.0
Accokeek,Prince George's County,Maryland US,2347.0,172.0,2.0,0.0,24033.0,38.83070039,-76.8496441,4.982236904989844,20607.0
Accomac,Accomack County,Virginia US,2.0,2.0,0.0,0.0,51001.0,37.76707161,-75.63234615,0.09061905828945654,23301.0
Accord,Plymouth County,Massachusetts US,2295.0,229.5,0.0,0.0,25023.0,41.94070556,-70.80802823,5.544195016840311,2018.0
Accord,Ulster County,New York US,2853.0,115.5,0.0,0.0,36111.0,41.89027881,-74.26252104,4.237863538678158,12404.0
Accoville,Logan County,West Virginia US,1711.0,1.0,0.0,0.0,54045.0,37.8299889,-81.93528571,0.0,25606.0
Ace,Polk County,Texas US,2310.0,0.5,0.0,0.0,48373.0,30.79472531,-94.8276624,0.0,77326.0
Achille,Bryan County,Oklahoma US,297.0,1.0,0.0,0.0,40013.0,33.96472458,-96.25903472,0.0,74720.0
Achilles,Gloucester County,Virginia US,1053.0,4.5,0.0,0.0,51073.0,37.40809042,-76.53524337,0.41658203008944655,23001.0
Ackerly,Dawson County,Texas US,733.0,2.0,0.0,0.0,48115.0,32.74255572,-101.9477242,0.1138223458526325,79713.0
Ackerman,Choctaw County,Mississippi US,501.0,4.0,0.0,0.0,28019.0,33.34598242,-89.24809382,0.3624762331578262,39735.0
Ackerman,Oktibbeha County,Mississippi US,2130.0,13.0,0.0,0.0,28105.0,33.42491685,-88.87905132,1.2391208179942803,39735.0
Ackerman,Winston County,Mississippi US,3110.5,3.5,0.0,0.0,28159.0,33.08747908,-89.03391385,0.2950604624315456,39735.0
Ackley,Butler County,Iowa US,323.0,1.0,0.0,0.0,19023.0,42.73172833,-92.79015971,0.0,50601.0
Ackley,Hardin County,Iowa US,1194.0,1.0,0.0,0.0,19083.0,42.38353877,-93.23654611,0.0,50601.0
Ackworth,Warren County,Iowa US,2959.5,1.0,0.0,0.0,19181.0,41.33559454,-93.56007641,0.0,50001.0
